dataid,air1,"	air2","	air3","	airwindowunit1","	aquarium1","	bathroom1","	bathroom2","	bedroom1","	bedroom2","	bedroom3","	bedroom4","	bedroom5","	car1","	clotheswasher1","	clotheswasher_dryg1","	diningroom1","	diningroom2","	dishwasher1","	disposal1","	drye1","	dryg1","	freezer1","	furnace1","	furnace2","	garage1","	garage2","	gen","	grid","	heater1","	housefan1","	icemaker1","	jacuzzi1","	kitchen1","	kitchen2","	kitchenapp1","	kitchenapp2","	lights_plugs1","	lights_plugs2","	lights_plugs3","	lights_plugs4","	lights_plugs5","	lights_plugs6","	livingroom1","	livingroom2","	microwave1","	office1","	outsidelights_plugs1","	outsidelights_plugs2","	oven1","	oven2","	pool1","	pool2","	poollight1","	poolpump1","	pump1","	range1","	refrigerator1","	refrigerator2","	security1","	shed1","	sprinkler1","	utilityroom1","	venthood1","	waterheater1","	waterheater2","	winecooler1","	use"
100252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9360.17475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12792.17017
624,1749.401312,NULL,NULL,NULL,NULL,NULL,NULL,37.90965087,NULL,NULL,NULL,NULL,1186.966009,21.7551654,NULL,NULL,NULL,125.5414856,NULL,73.48037905,NULL,NULL,359.85353,NULL,NULL,NULL,5157.158144,1642.943488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.97652639,165.5493102,465.5927506,106.7756749,47.21355535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.04576475,NULL,NULL,NULL,NULL,NULL,NULL,69.72600747,500.7254033,NULL,NULL,NULL,NULL,NULL,NULL,179.9287932,NULL,NULL,6875.0632
4224,NULL,NULL,NULL,NULL,NULL,28.45723333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,247.45785,NULL,NULL,NULL,135.0143833,NULL,NULL,129.7919167,NULL,959.77505,NULL,NULL,NULL,NULL,5231.112133,NULL,NULL,NULL,NULL,NULL,NULL,72.35528333,61.72491667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,273.24955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,306.3045667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5231.112133
6460,0.026483333,2595.306133,NULL,NULL,NULL,NULL,NULL,219.4412192,389.9566311,NULL,NULL,NULL,NULL,33.12568333,NULL,NULL,NULL,61.63348333,0.565333333,NULL,99.36336667,NULL,1237.043905,1315.49885,12.26216073,NULL,NULL,16106.32929,NULL,NULL,NULL,NULL,NULL,NULL,42.2176209,20.50715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31.17985,NULL,3.376466667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,661.0427743,NULL,NULL,NULL,NULL,NULL,91.89366949,NULL,NULL,NULL,16106.32929
516,188.37675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70.9422,NULL,NULL,NULL,NULL,958.2363333,NULL,NULL,NULL,NULL,5668.958883,NULL,NULL,NULL,1353.613133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,524.6637167,NULL,NULL,425.6991,NULL,NULL,162.41845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,428.2529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5668.958883
6378,551.3746675,4021.523703,NULL,NULL,NULL,36.4463688,71.48871818,NULL,NULL,NULL,NULL,NULL,NULL,39.33277405,NULL,NULL,NULL,168.4141356,14.02628714,490.8010342,NULL,262.6240724,2391.568581,1169.903414,NULL,NULL,NULL,17742.76345,NULL,NULL,NULL,NULL,NULL,NULL,173.7392656,23.25378072,NULL,NULL,NULL,NULL,NULL,NULL,971.6462419,NULL,154.6583366,NULL,341.0352655,273.1365605,NULL,NULL,NULL,NULL,NULL,NULL,110.7604864,NULL,702.8030049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,442.7854983,17742.76345
7436,416.3963667,NULL,NULL,NULL,NULL,NULL,NULL,40.98113333,19.33146667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.340766667,NULL,NULL,NULL,NULL,894.60305,NULL,NULL,NULL,NULL,1939.058333,NULL,NULL,NULL,NULL,NULL,NULL,43.82305,NULL,138.1020167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57.94606667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1939.058333
3631,580.1729833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6805,NULL,NULL,NULL,NULL,363.9191,NULL,NULL,NULL,NULL,2280.74085,NULL,NULL,NULL,NULL,NULL,NULL,18.85325,0.044783333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.0166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.37648333,239.3051667,NULL,NULL,NULL,NULL,NULL,NULL,406.1945333,NULL,NULL,2280.74085
9341,485.6543833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,936.4005,NULL,NULL,NULL,6829.2758,2849.478267,NULL,NULL,NULL,1538.515883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324.7156833,1069.609717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,838.0783667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9681.3499
9356,5701.557748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288.9572632,NULL,NULL,NULL,NULL,NULL,1468.384988,NULL,NULL,1670.847456,NULL,NULL,NULL,NULL,23245.49084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3138.861001,NULL,259.5034208,1313.514516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,528.5069557,762.0362254,NULL,NULL,NULL,NULL,NULL,NULL,3777.751269,NULL,NULL,23245.49084
